tm_id,player_name,player_position,player_details,player_age,player_nationality,team_left,league_left,country_previous,team_joined,league_joined,country_current,transf_date,market_value
638305,Thiaguinho,Right Winger,https://www.transfermarkt.com/thiaguinho/profil/spieler/638305,22,Brazil,CR Flamengo,Série A,Brazil,Treze FC,Copa do Nordeste - Fase de Grupos,Brazil,"Feb 18, 2024",€700k
191987,Edgar Ié,Centre-Back,https://www.transfermarkt.com/edgar-ie/profil/spieler/191987,29,Guinea-Bissau,Without ClubWithout Club,No league,No country,FC Dinamo Bucharest,SuperLiga,Romania,"Feb 18, 2024",€1.70m
905719,Nikola Vukic,Central Midfield,https://www.transfermarkt.com/nikola-vukic/profil/spieler/905719,19,Serbia,FK IMT Belgrad,Super liga Srbije,Serbia,Al-Jazira (Abu Dhabi),UAE Pro League,United Arab Emirates,"Feb 18, 2024",€800k
287015,Olivier Thill,Attacking Midfield,https://www.transfermarkt.com/olivier-thill/profil/spieler/287015,27,Luxembourg,Eyüpspor,1.Lig,Türkiye,LNZ Cherkasy,Premier Liga,Ukraine,"Feb 18, 2024",€850k
