Nombre,Apodo(s),Fundación,Presidente,Entrenador,Estadio,Ubicación,Capacidad,city,name_reported
Cape Town City Football Club,Ciudadanos,29 de junio de 2016 (7 años),No data,Eric Tinkler,Cape Town Stadium,"Ciudad del Cabo,Sudáfrica","55,000",Ciudad del Cabo,Cape Town City FC 
Delfín Sporting Club,El Cetáceo[1]​[2]​El Ídolo de Manta[3]​,1 de marzo de 1989 (35 años),José Delgado,Guillermo Duró,Jocay,"Av. 113 y Calle 307,Manta,Ecuador",22 000 espectadores[4]​,Av. 113 y Calle 307,Delfín SC
Football Club Nordsjælland,No data,1 de julio de 2003 (20 años),Allan K. Pedersen,Flemming Pedersen,Farum Park,"Farum,Dinamarca",10.300,Farum,FC Nordsjaelland
