Nombre,Apodo(s),Fundación,Presidente,Entrenador,Estadio,Ubicación,Capacidad,city,name_reported
FC PanserraikosΠανσερραϊκός Γ.Σ.,Λιοντάρια (Leones)Ερυθρόλευκοι (Rojiblancos),1964,Petros Theodoridis,No data,Serres Stadium,"Serres,Grecia",9.500,Serres,Panserraikos
Club Atlético Talleres,AlbiazulMatadorLa T,12 de octubre de 1913 (110 años),Andrés Fassi[2]​,Walter Ribonetto,Estadio Francisco Cabasés[n 1]​,"Av. Pablo Ricchieri 1595, Jardín Espinosa,Córdoba,Argentina",18 000 espectadores,Av. Pablo Ricchieri 1595,CA Talleres
Club Social y Deportivo Defensa y Justicia,El Halcón de Varela,20 de marzo de 1935 (89 años),Diego Lemme,Julio Vaccari,Norberto Tomaghello,"Av. Humahuaca 244 y Calle 501Florencio Varela,Buenos Aires,Argentina",20.000 espectadores,Av. Humahuaca 244 y Calle 501Florencio Varela,Defensa y Justicia
Club Atlético Talleres,AlbiazulMatadorLa T,12 de octubre de 1913 (110 años),Andrés Fassi[2]​,Walter Ribonetto,Estadio Francisco Cabasés[n 1]​,"Av. Pablo Ricchieri 1595, Jardín Espinosa,Córdoba,Argentina",18 000 espectadores,Av. Pablo Ricchieri 1595,CA Talleres
Fútbol Club Maccabi Haifa,La Locomotora VerdeEl Verdolaga IsraelíLos Verdes,1913,Itzik Ovadia,Messay Dego,Sammy Ofer,"Rothberg, 2Haifa,Israel",30.858,Rothberg,Maccabi Haifa
