Nombre,Apodo(s),Fundación,Presidente,Entrenador,Estadio,Ubicación,Capacidad,city,name_reported
Botafogo Futebol Clube,Pantera[1]​,12 de octubre de 1918 (105 años)[1]​,Eduardo Esteves[2]​,Paulo Gomes[4]​,Arena NICNET Eurobike[5]​,"Ribeirão Preto,Brasil",15000[6]​,Ribeirão Preto,Botafogo FC
Cruzeiro Esporte Clube,Raposa[1]​Time do Povo[2]​La Bestia Negra[3]​,2 de enero de 1921 (103 años),Lidson Potsch Magalhães[5]​,Nicolás Larcamón[7]​,Mineirão[8]​,"Belo Horizonte,Brasil",61.846 espectadores[9]​,Belo Horizonte,Cruzeiro Esporte Clube
Navbahor Professional Football Club,No data,1978 (46 años),Hakimjon Hashimov,Samvel Babayan,"Markaziy StadiumNamangan,Uzbekistán",No data,21 913,No data,Navbahor Namangan
Meizhou Hakka Football Club梅州客家足球俱乐部,No data,1 de enero de 2013 (11 años),No data,Pablo Villar,Wuhua County Olympic Sports Centre,"Wuhua,China","30,000",Wuhua,Meizhou Hakka
Lion City Sailors Football Club,The Sailors,1945,Forrest Li,Do-hoon Kim,Bishan Stadium,"Bishan,Singapur",3.500,Bishan,Lion City Sailors
FC Rukh Lviv,No data,2003,Hryhoriy Kozlovskyi[1]​,Vitaliy Ponomaryov,Skif Stadium,"Vynnyky,Ucrania",3742,Vynnyky,Rukh Lviv
Seattle Sounders Football Club,Rave GreenThe Sounders,13 de noviembre de 2007 (16 años),Craig Waibel,Brian Schmetzer,Lumen Field,"Seattle,Washington,Estados Unidos",67.000,Seattle,Seattle Sounders FC
Football Club Utrecht,DomstedelingenUtreg,1 de julio de 1970 (53 años),Steef Klop,Ron Jans,Stadion Galgenwaard,"Utrecht,Países Bajos",23.750 espectadores,Utrecht,FC Utrecht
Club Sport Emelec,Bombillo[1]​Azules[2]​Eléctricos[3]​Millonarios[4]​Ballet Azul[5]​,28 de abril de 1929 (94 años),José Pileggi,Hernán Torres,George Capwell,"San Martín y Av. Quito,Guayaquil,Ecuador",39 059 espectadores[6]​,San Martín y Av. Quito,CS Emelec
Fotballklubben Haugesund,FKHÁrabes,28 de octubre de 1993 (30 años),Leif Helge Kaldheim,Jostein Grindhaug[1]​,Haugesund stadion,"Haugesund,Noruega",8.800,Haugesund,FK Haugesund
Fluminense Football Club,Flu[1]​FluzãoTricolor',21 de julio de 1902 (121 años),Mário Bittencourt[2]​,Fernando Diniz[4]​,"MaracanáEstadio das LaranjeirasRío de Janeiro,Brasil",No data,78.838[5]​ espectadores84.738 (FIFA)[6]​ espectadores8.000 espectadores(Laranjeiras)[7]​,No data,Fluminense Football Club
Jeju United Football Club제주 유나이티드 축구단,No data,17 de diciembre de 1982 (41 años)(comoYukong Kokkiri),Koo Ja-young,Choi Yun-Kyum,Estadio Mundialista de Jeju,"Seogwipo,Jeju,Corea del Sur",35 600,Seogwipo,Jeju United
Mittetulundusühing SpordiklubiFootball Club Levadia Tallinn,No data,22 de octubre de 1998 (25 años),Sergei Hohlov-Simson,Curro Torres,A. Le Coq Arena,"Tallin,Estonia",14.366[1]​,Tallin,FCI Levadia
