Nombre,Apodo(s),Fundación,Presidente,Entrenador,Estadio,Ubicación,Capacidad,city,name_reported
Cuiabá Esporte Clube,No data,No data,No data,No data,No data,No data,No data,No data,Hammarby IF
Tianjin Jinmen Tiger Football Club天津津门虎足球俱乐部,津门虎 (Tigres de Tianjin)[1]​,16 de febrero de 1998 (26 años)[2]​,Dong Wensheng[3]​,Wang Baoshan[4]​,Estadio Olímpico de Tianjin[5]​,"Tianjin,China",54.696[6]​34.599[7]​,Tianjin,CA Independiente
Wydad Athletic Club,Wydad de la NaciónWydad de la ResistenciaEl EmperadorEl Decano,8 de mayo de 1937 (86 años),Said Naciri,Adil Ramzi,Estadio Mohammed V,"Casablanca,Marruecos",67 000,Casablanca,Cuiabá Esporte Clube (MT)
Al-Masry Sporting Club,Águilas VerdesJefe del Canal,18 de marzo de 1920 (104 años),Samir Halabia,Ehab Galal,Estadio de Puerto Saíd,"Puerto Saíd,Egipto",18.000,Puerto Saíd,Tianjin Jinmen Tiger
Club Atlético San Lorenzo de Almagro,El CiclónLos CuervosLos SantosAzulgranaLos Matadores[1]​,1 de abril de 1908 (115 años),Marcelo Moretti,Rubén Darío Insúa,Pedro Bidegain«El Nuevo Gasómetro»,"Av. Perito Moreno y Av. Varela,Buenos Aires,Argentina",47 964 espectadores[3]​,Av. Perito Moreno y Av. Varela,Wydad Casablanca
"Real Betis Balompié, S. A. D.","Béticos / Heliopolitanos,[1]​Verdiblancos / Verderones[1]​",12 de septiembre de 1907 (116 años)comoSevilla Balompié,Ángel Haro,Manuel Pellegrini,Benito Villamarín,"Av. de Heliópolis, s/n, 41012,Sevilla(Coord.37°21′23″N5°58′54″O﻿ / ﻿37.3565037,-5.9817521)",60 784 espectadores[2]​,Av. de Heliópolis,El Masry SC
Club Atlético Boston River,El BostonVerdirrojoEl Sastre,20 de febrero de 1939 (85 años),Roberto Perdomo Protti,Alejandro Apud,"Desde2022, oficia de local en elEstadio Parque Artigas","Las Piedras,Canelones",2 500,Las Piedras,CA San Lorenzo de Almagro
Silkeborg Idrætsforening,SIF,1917,Kent Madsen,Kent Nielsen,JYSK Park,"Silkeborg,Dinamarca",10 000,Silkeborg,Real Betis Balompié
Koninklijke Football Club Lommelse Sportkring,No data,1932,No data,No data,Soevereinstadion,"Lommel,Bélgica","12,911",Lommel,CA Boston River
Orlando City Soccer Club,Los Leones[1]​,19 de noviembre de 2013 (10 años),No data,Óscar Pareja,Exploria Stadium,"Orlando,Florida,Estados Unidos",25.000,Orlando,Silkeborg IF
Lyngby Boldklub af 1921,De kongeblå (Azul Real)Vikingerne (Vikingos),30 de marzo de 1921 (102 años),Tommy Petersen,Magne Hoseth,Lyngby Stadion,"Lyngby,Dinamarca",9680,Lyngby,Lommel SK
Halmstads Bollklubb,HBK,6 de marzo de 1914 (110 años),Pelle Nilsson,Magnus Haglund,Örjans vall,"Halmstad,Suecia",15.500,Halmstad,Orlando City SC
No data,No data,No data,No data,No data,No data,No data,No data,No data,Lyngby BK
No data,No data,No data,No data,No data,No data,No data,No data,No data,Halmstads BK
Suwon Samsung Bluewings Football Club수원 삼성 블루윙즈 축구단,Alas AzulesEl gran pájaro de Suwon[1]​,15 de diciembre de 1995 (28 años),Park Chan-Hyoung,No data,Estadio Mundialista de Suwon,"Suwon,Corea del Sur",43 959,Suwon,RC Lens B
Stade Rennais Football Club,Les Rouges et Noirs(Los rojinegros)[1]​Les Rennais,10 de marzo de 1901 (123 años),Nicolas Holveck,Julien Stéphan,Roazhon Park,"Rennes,Francia",31 127,Rennes,Hammarby IF
Santos Futebol Clube,Peixe[1]​Alvinegro[2]​,14 de abril de 1912 (111 años),Marcelo Teixeira[3]​,Fábio Carille[5]​,Estadio Vila Belmiro,"Santos,São Paulo,Brasil",16 500 espectadores,Santos,Suwon Samsung Bluewings
Futbolnyĭ Klub Zhemchuzhina-Sochi,No data,1991,Dmitry Yakushev,No data,Estadio Central de Sochi,"Sochi,Rusia",12.500,Sochi,Stade Rennais FC
