city
Montevideo
Londres(Coord.51°29′11″N0°02′11″E﻿ / ﻿51.486389
Yokohama
Cagliari
Avda. Juan B. Justo9200
Belgrado(Serbia)
No data
Lisboa
No data
Avenida 60 y calle 118
Túnez (ciudad)
Reims
Londres(Coord.51°29′17″N0°18′10″O﻿ / ﻿51.488183
Condado de Split-Dalmacia.Croacia
Villeneuve-d'Ascq
No data
Brujas
Montevideo
Londres(Coord.51°29′17″N0°18′10″O﻿ / ﻿51.488183
Av. Figueroa Alcorta 7597
Milán
Grünwalder Str. 4
Brighton(Coord.50°51′43″N0°05′00″O﻿ / ﻿50.861822
San Luis
Av. López y Planes 3553
Borås
Bochum
Limassol
Neiva
Trebisonda
Lisboa
Curitiba
Luna 1211
Chōfu
