city
Mazatlán
Tijuana
Avda. del Estadio S/N - 30110 -Churra
Umm al-Fahm
Belgrado
Pasaje Mozart y CorbattaAvellaneda
Novi Sad
Kiev
Vaasa
Camino de Anduva s/nMiranda de Ebro(Burgos)España
Curitiba
Avda. Juan B. Justo9200
Ankara
Ipswich(Coord.52°03′18″N1°08′41″E﻿ / ﻿52.055061
No data
Londres
Via Nicolò Fieschi
No data
No data
Huddersfield(Coord.53°39′15″N1°46′06″O﻿ / ﻿53.654167
Belo Horizonte
Verona
Londres(Coord.51°30′33″N0°13′56″O﻿ / ﻿51.509167
Watford(Coord.51°38′59″N0°24′05″O﻿ / ﻿51.649836
Trinity Road
Fráncfort
Budapest
Av. Boulogne Sur Mer y Lavalle
Av. Montilivi
Cluj-Napoca
Wolverhampton(Coord.52°35′25″N2°07′49″O﻿ / ﻿52.590278
No data
Plovdiv
Via Giovanni de Prà
Londres
Como
Guimarães
Balcarce 477
Sinsheim
Údine
Norwich(Coord.52°37′20″N1°18′31″E﻿ / ﻿52.622128
Núremberg
No data
Kiev
Nantes
Bastia
Gwangju
Enrique Olivares 1003La Florida
Belo Horizonte
Teherán
Atlanta
Belgrado
Kragujevac
C/ Pintor Manuel Maldonado s/nGranada
Mánchester
Novi Sad
Estrasburgo
Niš
Debrecen
Balcarce 477
Novi Pazar
Lazarevac
Degerfors
Giresun
