tm_id,player_name,player_position,player_details,player_age,player_nationality,team_left,league_left,country_previous,team_joined,league_joined,country_current,transf_date,market_value
462837,Nikolas Dyhr,Left-Back,https://www.transfermarkt.com/nikolas-dyhr/profil/spieler/462837,22,Denmark,FC Midtjylland,Superliga,Denmark,St. Louis CITY SC,MLS,United States,"Jan 31, 2024",€1.50m
325896,Henrich Ravas,Goalkeeper,https://www.transfermarkt.com/henrich-ravas/profil/spieler/325896,26,Slovakia,Widzew Lodz,Ekstraklasa,Poland,New England Revolution,MLS,United States,"Jan 31, 2024",€1.50m
395589,Miki Yamane,Right-Back,https://www.transfermarkt.com/miki-yamane/profil/spieler/395589,30,Japan,Kawasaki Frontale,J1 League,Japan,Los Angeles Galaxy,MLS,United States,"Jan 31, 2024",€1.60m
221624,Zack Steffen,Goalkeeper,https://www.transfermarkt.com/zack-steffen/profil/spieler/221624,28,United States,Manchester City,Premier League,England,Colorado Rapids,MLS,United States,"Jan 31, 2024",€2.50m
1029788,Sondre Granaas,Central Midfield,https://www.transfermarkt.com/sondre-granaas/profil/spieler/1029788,17,Norway,Mjøndalen IF,OBOS-ligaen,Norway,Molde FK,Eliteserien,Norway,"Jan 31, 2024",€800k
17965,Hugo Lloris,Goalkeeper,https://www.transfermarkt.com/hugo-lloris/profil/spieler/17965,37,France,Tottenham Hotspur,Premier League,England,Los Angeles FC,MLS,United States,"Jan 31, 2024",€1.50m
342129,Jostein Gundersen,Centre-Back,https://www.transfermarkt.com/jostein-gundersen/profil/spieler/342129,27,Norway,Tromsø IL,Eliteserien,Norway,FK Bodø/Glimt,Eliteserien,Norway,"Jan 31, 2024",€1.00m
206947,Kévin Rodrigues,Left-Back,https://www.transfermarkt.com/kevin-rodrigues/profil/spieler/206947,29,Portugal,Adana Demirspor,Süper Lig,Turkey,Al-Qadsiah FC,Saudi First Division League,Saudi Arabia,"Jan 31, 2024",€2.00m
663319,Marino Hinestroza,Left Winger,https://www.transfermarkt.com/marino-hinestroza/profil/spieler/663319,21,Colombia,CF Pachuca,Liga MX Apertura,Mexico,Columbus Crew,MLS,United States,"Jan 31, 2024",€1.00m
442470,Tomas Totland,Right-Back,https://www.transfermarkt.com/tomas-totland/profil/spieler/442470,24,Norway,BK Häcken,Allsvenskan,Sweden,St. Louis CITY SC,MLS,United States,"Jan 31, 2024",€900k
579294,Aimar Sher,Central Midfield,https://www.transfermarkt.com/aimar-sher/profil/spieler/579294,21,Sweden,Without ClubWithout Club,No league,No country,Sarpsborg 08 FF,Eliteserien,Norway,"Jan 31, 2024",€750k
111078,Emil Forsberg,Attacking Midfield,https://www.transfermarkt.com/emil-forsberg/profil/spieler/111078,32,Sweden,RB Leipzig,Bundesliga,Germany,New York Red Bulls,MLS,United States,"Jan 31, 2024",€6.00m
398015,Josh Cohen,Goalkeeper,https://www.transfermarkt.com/josh-cohen/profil/spieler/398015,31,United States,Without ClubWithout Club,No league,No country,Atlanta United FC,MLS,United States,"Jan 31, 2024",€500k
224669,Wilder Cartagena,Defensive Midfield,https://www.transfermarkt.com/wilder-cartagena/profil/spieler/224669,29,Peru,Ittihad Kalba FC,UAE Pro League,United Arab Emirates,Orlando City SC,MLS,United States,"Jan 31, 2024",€2.50m
856184,Tomás Ángel,Centre-Forward,https://www.transfermarkt.com/tomas-angel/profil/spieler/856184,20,Colombia,Atlético Nacional,Liga Dimayor I,Colombia,Los Angeles FC,MLS,United States,"Jan 31, 2024",€850k
661428,Elias Hoff Melkersen,Centre-Forward,https://www.transfermarkt.com/elias-hoff-melkersen/profil/spieler/661428,21,Norway,Hibernian FC,Premiership,Scotland,Strømsgodset IF,Eliteserien,Norway,"Jan 31, 2024",€900k
121988,Wellington Nem,Right Winger,https://www.transfermarkt.com/wellington-nem/profil/spieler/121988,31,Brazil,Esporte Clube Vitória,Série A,Brazil,Kisvárda FC,NB I.,Hungary,"Jan 31, 2024",€500k
258011,Xande Silva,Left Winger,https://www.transfermarkt.com/xande-silva/profil/spieler/258011,26,Portugal,Dijon FCO,Championnat National,France,Atlanta United FC,MLS,United States,"Jan 31, 2024",€700k
875252,Enes Sali,Left Winger,https://www.transfermarkt.com/enes-sali/profil/spieler/875252,17,Romania,FCV Farul Constanta,SuperLiga,Romania,FC Dallas,MLS,United States,"Jan 31, 2024",€1.30m
585467,Mender García,Centre-Forward,https://www.transfermarkt.com/mender-garcia/profil/spieler/585467,25,Colombia,Minnesota United FC,MLS,United States,Independiente Medellín,Liga Dimayor I,Colombia,"Jan 31, 2024",€1.50m
445101,Rodrigues,Centre-Back,https://www.transfermarkt.com/rodrigues/profil/spieler/445101,26,Brazil,Grêmio Foot-Ball Porto Alegrense,Série A,Brazil,San Jose Earthquakes,MLS,United States,"Jan 31, 2024",€1.80m
349699,Kyle Duncan,Right-Back,https://www.transfermarkt.com/kyle-duncan/profil/spieler/349699,26,United States,KV Oostende,Challenger Pro League,Belgium,New York Red Bulls,MLS,United States,"Jan 31, 2024",€1.50m
533565,Tomás Chancalay,Left Winger,https://www.transfermarkt.com/tomas-chancalay/profil/spieler/533565,25,Argentina,Racing Club,Liga Profesional,Argentina,New England Revolution,MLS,United States,"Jan 31, 2024",€4.00m
421807,Maren Haile-Selassie,Left Midfield,https://www.transfermarkt.com/maren-haile-selassie/profil/spieler/421807,24,Switzerland,FC Lugano,Super League,Switzerland,Chicago Fire FC,MLS,United States,"Jan 31, 2024",€1.80m
599329,Novak Mićović,Goalkeeper,https://www.transfermarkt.com/novak-micovic/profil/spieler/599329,22,Serbia,FK Cukaricki,Super liga Srbije,Serbia,Los Angeles Galaxy,MLS,United States,"Jan 31, 2024",€600k
542877,Kasper Høgh,Centre-Forward,https://www.transfermarkt.com/kasper-hogh/profil/spieler/542877,23,Denmark,Stabæk Fotball,OBOS-ligaen,Norway,FK Bodø/Glimt,Eliteserien,Norway,"Jan 31, 2024",€700k
