tm_id,player_name,player_position,player_details,player_age,player_nationality,team_left,league_left,country_previous,team_joined,league_joined,country_current,transf_date,market_value
336348,Alberto Espínola,Right-Back,https://www.transfermarkt.com/alberto-espinola/profil/spieler/336348,32,Paraguay,CA Colon,Primera Nacional,Argentina,Without ClubWithout Club,No league,No country,"Jan 24, 2024",€1.00m
491553,Jaminton Campaz,Attacking Midfield,https://www.transfermarkt.com/jaminton-campaz/profil/spieler/491553,23,Colombia,Grêmio Foot-Ball Porto Alegrense,Série A,Brazil,CA Rosario Central,Liga Profesional,Argentina,"Jan 24, 2024",€8.00m
348261,Iago Maidana,Centre-Back,https://www.transfermarkt.com/iago-maidana/profil/spieler/348261,27,Brazil,América Futebol Clube (MG),Série B,Brazil,Without ClubWithout Club,No league,No country,"Jan 24, 2024",€1.50m
197602,Rúben Semedo,Centre-Back,https://www.transfermarkt.com/ruben-semedo/profil/spieler/197602,29,Portugal,Al-Duhail SC,Stars League,Qatar,Al-Markhiya SC,Stars League,Qatar,"Jan 24, 2024",€3.00m
195906,Albian Ajeti,Centre-Forward,https://www.transfermarkt.com/albian-ajeti/profil/spieler/195906,26,Switzerland,Gaziantep FK,Süper Lig,Turkey,Without ClubWithout Club,No league,No country,"Jan 24, 2024",€1.30m
671951,Gustavo del Prete,Centre-Forward,https://www.transfermarkt.com/gustavo-del-prete/profil/spieler/671951,27,Argentina,UNAM Pumas,Liga MX Apertura,Mexico,Mazatlán FC,Liga MX Apertura,Mexico,"Jan 24, 2024",€2.00m
565766,Francisco Álvarez,Centre-Back,https://www.transfermarkt.com/francisco-alvarez/profil/spieler/565766,23,Argentina,CA Talleres,Liga Profesional,Argentina,AA Argentinos Juniors,Liga Profesional,Argentina,"Jan 24, 2024",€2.00m
225998,Cristian Álvarez,Attacking Midfield,https://www.transfermarkt.com/cristian-alvarez/profil/spieler/225998,31,Argentina,Club Deportivo Oriente Petrolero,División Profesional Apertura,Bolivia,Cúcuta Deportivo,Torneo DIMAYOR I,Colombia,"Jan 24, 2024",€500k
76886,Brahian Alemán,Attacking Midfield,https://www.transfermarkt.com/brahian-aleman/profil/spieler/76886,34,Uruguay,CA Banfield,Liga Profesional,Argentina,Club Atlético Tigre,Liga Profesional,Argentina,"Jan 24, 2024",€900k
931942,Kevin López,Central Midfield,https://www.transfermarkt.com/kevin-lopez/profil/spieler/931942,22,Argentina,CA Independiente,Liga Profesional,Argentina,Defensa y Justicia,Liga Profesional,Argentina,"Jan 24, 2024",€600k
611195,Oliver Zandén,Left-Back,https://www.transfermarkt.com/oliver-zanden/profil/spieler/611195,22,Sweden,FC Toulouse,Ligue 1,France,Randers FC,Superliga,Denmark,"Jan 24, 2024",€800k
868891,Adson,Attacking Midfield,https://www.transfermarkt.com/adson/profil/spieler/868891,23,Brazil,FC Nantes,Ligue 1,France,Clube de Regatas Vasco da Gama,Série A,Brazil,"Jan 24, 2024",€5.00m
72768,Nélson Oliveira,Centre-Forward,https://www.transfermarkt.com/nelson-oliveira/profil/spieler/72768,32,Portugal,Konyaspor,Süper Lig,Turkey,Vitória Guimarães SC,Liga Portugal,Portugal,"Jan 24, 2024",€800k
1014243,Vivaldo Semedo,Centre-Forward,https://www.transfermarkt.com/vivaldo-semedo/profil/spieler/1014243,19,Portugal,Udinese Calcio,Serie A,Italy,FC Volendam,Eredivisie,Netherlands,"Jan 24, 2024",€500k
371000,David Colina,Left-Back,https://www.transfermarkt.com/david-colina/profil/spieler/371000,23,Croatia,FC Augsburg,Bundesliga,Germany,Vejle Boldklub,Superliga,Denmark,"Jan 24, 2024",€1.00m
334804,Kenny Dougall,Defensive Midfield,https://www.transfermarkt.com/kenny-dougall/profil/spieler/334804,30,Australia,Blackpool FC,League One,England,Buriram United,Thai League,Thailand,"Jan 24, 2024",€600k
206717,Eduard Sobol,Left-Back,https://www.transfermarkt.com/eduard-sobol/profil/spieler/206717,28,Ukraine,RC Strasbourg Alsace,Ligue 1,France,KRC Genk,Jupiler Pro League,Belgium,"Jan 24, 2024",€2.00m
