tm_id,player_name,player_position,player_details,player_age,player_nationality,team_left,league_left,country_previous,team_joined,league_joined,country_current,transf_date,market_value
368624,Mamadou Thiam,Second Striker,https://www.transfermarkt.com/mamadou-thiam/profil/spieler/368624,28,Senegal,Al-Arabi SC (Kuwait),No league,Kuwait,Al-Jabalain FC,Saudi First Division League,Saudi Arabia,"Jan 30, 2024",€650k
731722,Matías Mansilla,Goalkeeper,https://www.transfermarkt.com/matias-mansilla/profil/spieler/731722,27,Argentina,CA Central Córdoba (SdE),Liga Profesional,Argentina,Club Estudiantes de La Plata,Liga Profesional,Argentina,"Jan 30, 2024",€1.50m
288915,Odildzhon Khamrobekov,Defensive Midfield,https://www.transfermarkt.com/odildzhon-khamrobekov/profil/spieler/288915,27,Uzbekistan,Pakhtakor Tashkent,Superliga,Uzbekistan,Navbahor Namangan,Superliga,Uzbekistan,"Jan 30, 2024",€1.20m
463814,Amr El Sisi,Central Midfield,https://www.transfermarkt.com/amr-el-sisi/profil/spieler/463814,29,Egypt,Zamalek SC,Premier League,Egypt,Modern Future FC,Premier League,Egypt,"Jan 30, 2024",€500k
127160,Benjamin Stambouli,Defensive Midfield,https://www.transfermarkt.com/benjamin-stambouli/profil/spieler/127160,33,France,Adana Demirspor,Süper Lig,Turkey,Without ClubWithout Club,No league,No country,"Jan 30, 2024",€800k
191987,Edgar Ié,Centre-Back,https://www.transfermarkt.com/edgar-ie/profil/spieler/191987,29,Guinea-Bissau,Basaksehir FK,Süper Lig,Turkey,Without ClubWithout Club,No league,No country,"Jan 30, 2024",€1.70m
371814,Nathaniel Phillips,Centre-Back,https://www.transfermarkt.com/nathaniel-phillips/profil/spieler/371814,26,England,Liverpool FC,Premier League,England,Cardiff City,Championship,Wales,"Jan 30, 2024",€4.00m
347909,Matheus Jussa,Defensive Midfield,https://www.transfermarkt.com/matheus-jussa/profil/spieler/347909,27,Brazil,Fortaleza Esporte Clube,Série A,Brazil,Without ClubWithout Club,No league,No country,"Jan 30, 2024",€1.20m
