tm_id,player_name,player_position,player_details,player_age,player_nationality,team_left,league_left,country_previous,team_joined,league_joined,country_current,transf_date,market_value
129062,Jack Price,Central Midfield,https://www.transfermarkt.com/jack-price/profil/spieler/129062,31,England,Without ClubWithout Club,No league,No country,Shrewsbury Town,League One,England,"Mar 13, 2024",€2.00m
737965,Luciano Arriagada,Centre-Forward,https://www.transfermarkt.com/luciano-arriagada/profil/spieler/737965,21,Chile,Club Athletico Paranaense,Série A,Brazil,Audax Italiano,Primera División,Chile,"Mar 13, 2024",€1.00m
627227,Peglow,Left Winger,https://www.transfermarkt.com/peglow/profil/spieler/627227,22,Brazil,Sport Club Internacional,Série A,Brazil,Without ClubWithout Club,No league,No country,"Mar 13, 2024",€1.50m
651026,Dorny Romero,Centre-Forward,https://www.transfermarkt.com/dorny-romero/profil/spieler/651026,26,Dominican Republic,Club Always Ready,División Profesional Apertura,Bolivia,FK Aktobe,Premier Liga,Kazakhstan,"Mar 13, 2024",€900k
