name,latitude,longitude,state,country,sky_weather,weather_description,timestamp,Team
ChapecóSanta Catarina,No data,No data,No data,No data,No data,No data,No data,Associação Chapecoense de Futebol
Arouca,No data,No data,No data,No data,No data,No data,No data,FC Arouca
No data,No data,No data,No data,No data,No data,No data,No data,Deportivo Guadalajara
Cincinnati,39.1014537,-84.5124602,Ohio,US,Clouds,overcast clouds,2024-03-26 13:04:42,FC Cincinnati
Calzada de Tlalpan,No data,No data,No data,No data,No data,No data,No data,CF América
Molde,No data,No data,No data,No data,No data,No data,No data,Molde FK
Ciudad del Cabo,-33.928992,18.417396,Western Cape,ZA,Clouds,scattered clouds,2024-03-26 13:04:46,Cape Town City FC 
Av. Grecia2001Ñuñoa,No data,No data,No data,No data,No data,No data,No data,Club Universidad de Chile
