name,latitude,longitude,state,country,sky_weather,weather_description,timestamp,Team
No data,No data,No data,No data,No data,No data,No data,No data,FK Javor-Matis Ivanjica
Caravaggio,45.4972605,9.6437404,Lombardy,IT,Clouds,overcast clouds,2024-03-26 13:41:41,FC Metz
Sofía,No data,No data,No data,No data,No data,No data,No data,Zenit St. Petersburg
Sochi,43.5854823,39.723109,Krasnodar Krai,RU,Rain,light rain,2024-03-26 13:41:45,Atalanta U23
No data,No data,No data,No data,No data,No data,No data,No data,Levski Sofia
